name,lat,lon,pop2023
Jackson,32.315638122494356,-90.2125663335405,143709.0
Gulfport,30.42741473685072,-89.0703684795144,72823.0
Southaven,34.951450232791416,-89.97865088991875,56851.0
Hattiesburg,31.30730768037957,-89.31694924218475,48414.0
Biloxi,30.442494694642885,-88.95128514756271,48235.0
Olive Branch,34.95297583890142,-89.84007172583208,47029.0
Tupelo,34.269142305895876,-88.73182153646033,37675.0
Meridian,32.38455655632047,-88.68964858306082,33551.0
Pearl,32.27297138263352,-90.09181747442928,28117.0
Madison,32.47375510848852,-90.13004952948918,27987.0
Greenville,33.385046071916996,-91.05142505050364,27644.0
Oxford,34.36269791285669,-89.53355022160886,27008.0
Clinton,32.35393921956546,-90.34029620388422,26698.0
Horn Lake,34.951211137398616,-90.05014010961351,26468.0
Brandon,32.27783494693299,-89.98960106748419,25719.0
Starkville,33.46205271881878,-88.82493182893158,25444.0
Ridgeland,32.42320663586754,-90.16181154956291,24459.0
Columbus,33.50879470657472,-88.4096446823824,23035.0
Pascagoula,30.366787174982708,-88.55024577835667,21582.0
Vicksburg,32.31733521274683,-90.88676649774355,20192.0
Gautier,30.4106272329266,-88.6568174403216,19021.0
Ocean Springs,30.40823913501619,-88.78607642540143,18997.0
Hernando,34.850085869119255,-89.99185614527006,18239.0
Long Beach,30.360813691459406,-89.16513536116145,16991.0
Laurel,31.695630944199582,-89.14484284382927,16979.0
Corinth,34.94738156734965,-88.51434133312364,14259.0
Natchez,31.543706926874098,-91.38667364815551,13933.0
Clarksdale,34.193251257752436,-90.56926245354789,13850.0
Greenwood,33.51257370827846,-90.19932594508447,13421.0
D'Iberville,30.47086771148878,-88.90110651353609,13286.0
Byram,32.19228143591275,-90.28951726339011,12651.0
Grenada,33.781535863819016,-89.81301335000292,12267.0
McComb,31.2442011750498,-90.47165574556071,11914.0
Moss Point,30.424042058243344,-88.52889353583386,11890.0
Picayune,30.53215986977789,-89.67239683200063,11862.0
