PCTILE,REGION,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,DWATER,NO2,D2_PM25,D2_OZONE,D2_DSLPM,D2_RSEI_AIR,D2_PTRAF,D2_LDPNT,D2_PNPL,D2_PRMP,D2_PTSDF,D2_UST,D2_PWDIS,D2_DWATER,D2_NO2,D5_PM25,D5_OZONE,D5_DSLPM,D5_RSEI_AIR,D5_PTRAF,D5_LDPNT,D5_PNPL,D5_PRMP,D5_PTSDF,D5_UST,D5_PWDIS,D5_DWATER,D5_NO2
0,USA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.288578142076500,38.778419999999997,0.000559335629000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.036833893507719,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1,USA,0.004583580658838,0.519949175808505,0.000000000000000,0.000000000000000,0.000000000000000,0.025943818214350,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.104615384615385,4.871032486338800,48.098730399999994,0.018027295168903,0.000172049000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.613061298131943,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.363329948111556,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
2,USA,0.149560669582258,0.615976702733078,0.000000000000000,0.000000000000000,0.000000000000000,0.037139222635130,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.115897435897436,5.281227431693990,50.124330000000000,0.025931000750365,0.022046746200000,1512.365245845578102,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.026701250076294,0.213382504143733,0.287396001399384,0.912911049609383,0.600095065118865,0.611901623104646,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.547366713294381,1.970380477089390,2.085802011880522,2.463127761045278,2.248154328606141,2.273153068867226,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.272656500323653
3,USA,0.205055976316962,0.670689918972297,0.004484808787222,0.012269938650307,0.000000000000000,0.043566362715299,0.000000000000000,0.000000000000000,0.000000000000000,0.014120667522465,0.122051282051282,5.549938896174864,50.798859999999998,0.032036368928985,0.112717713600000,4358.504631274880921,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.304148514270782,1.020735231649563,1.228498740380831,1.710802176244610,1.470304251637574,1.532037949837813,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.267924495715204,3.411562256496730,3.786876959693431,4.092445543335637,3.919745979168352,4.084741030887294,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.909604766937699
4,USA,0.245188502986792,0.713146064959472,0.011254999180259,0.020727916087451,0.000000000000000,0.048496689564245,0.000000000000000,0.000000000000000,0.000000000000000,0.022756505408804,0.128205128205128,5.732657241530053,51.182519999999997,0.036331434167620,0.494624416400000,7580.103273530913611,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.529762077331543,1.657259841445201,2.046776586707522,2.494220481829790,2.346006188988022,2.260472854287266,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.962741338480675,4.768644669642739,5.309354811449200,5.702412062414903,5.379048946891079,5.678411758290327,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.385778007834977
5,USA,0.278419602840241,0.748621238941914,0.016949152542373,0.028217066196219,0.000000000000000,0.052329157677804,0.000000000000000,0.000000000000000,0.000000000000000,0.029776038030989,0.132307692307692,5.904377868852460,51.523269999999997,0.039863668510477,1.286927571000000,11202.880411351570729,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.721573233604431,2.341937187270861,2.854563287818222,3.238569165166610,3.214605914825770,2.927449136027623,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.614937709575973,6.180573013538010,6.771921035907655,7.429382102406729,6.698290263955068,7.247525284440282,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.813131357045305
6,USA,0.307100898007536,0.777761720326025,0.022177419354839,0.035069181934538,0.000000000000000,0.055526453640650,0.000000000000000,0.000000000000000,0.000000000000000,0.035483870967742,0.135384615384615,6.029082191256831,51.793578199999999,0.043106851908591,2.608405349999999,15173.949233241382899,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.888690485954285,3.018703002029110,3.668056504136182,3.898614333295466,4.047925625463486,3.582384386850893,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.268403875682845,7.559554691899193,8.185770648812962,9.072320057617326,7.974310442217872,8.802263110630621,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.234706218656685
7,USA,0.333207097375003,0.804806130248217,0.027317909938947,0.041204981585403,0.000000000000000,0.058277027027027,0.000000000000000,0.000000000000000,0.000000000000000,0.041006523765144,0.138461538461538,6.146935245901640,52.008470000000003,0.046145830653020,4.606525948900008,19364.528461018304370,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.042510254383087,3.748634896500080,4.483909172018727,4.634696748124750,4.829537361912824,4.228630707169573,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.889501993009160,8.853475056710391,9.683545096712098,10.676635404967250,9.202235035551880,10.297894395897750,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9.619381923983095
8,USA,0.357793843395810,0.830553845548375,0.032285764131066,0.047427730405326,0.000000000000000,0.060919405584013,0.000000000000000,0.000000000000000,0.000000000000000,0.045866142506143,0.141538461538462,6.269159839344261,52.218600000000002,0.049009806636982,6.962419058399999,24077.758726553176530,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000007527378895,0.000000000000000,3.184722909927368,4.472595565602938,5.282461094503175,5.316899329737883,5.592413816580144,4.876680430172395,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.537038897814056,10.175080183322013,11.171583100599273,12.216812319088802,10.453298592654740,11.790116102288540,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,7.445999718296722,0.000000000000000,10.949815583479424
9,USA,0.380425805741769,0.853111267675771,0.037037037037037,0.053054940531158,0.000000000000000,0.063417091551585,0.000000000000000,0.000000000000000,0.000000000000000,0.050183939792422,0.143589743589744,6.366142076502730,52.424289999999999,0.051812339660644,9.834759755100000,29075.498969714350096,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000628125254714,0.000000000000000,3.326524455547333,5.207985813400974,6.083595237821981,6.021752529188671,6.326733940871113,5.513555165547838,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.589574528325377,0.000000000000000,5.196500166158808,11.461520534923325,12.615550419955708,13.661152477203881,11.725898431880742,13.243225985267065,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.437317593829876,0.000000000000000,12.275457724167813
